5 Tips to Improve the Performance of Your React Apps#(March 8, 2020)#https://www.digitalocean.com/community/tutorials/react-keep-react-fast
6 Optimization Tips for React Apps#(December 12, 2019)#https://www.digitalocean.com/community/tutorials/6-quick-optimisation-tips-in-react-apps
7 Ways to Implement Conditional Rendering in React Applications#(February 5, 2021)#https://www.digitalocean.com/community/tutorials/7-ways-to-implement-conditional-rendering-in-react-applications
A Brief Introduction to Expo#(December 12, 2018)#https://www.digitalocean.com/community/tutorials/react-expo-intro
A Guide for Refs in React#(August 18, 2019)#https://www.digitalocean.com/community/tutorials/react-createref
A New Way to Handle Events in React#(April 16, 2020)#https://www.digitalocean.com/community/tutorials/react-new-way-to-handle-events
A Quick Intro to React's Higher-Order Components#(May 12, 2018)#https://www.digitalocean.com/community/tutorials/react-higher-order-components
A Sneak Peek at React Router v6#(March 17, 2020)#https://www.digitalocean.com/community/tutorials/react-react-router-v6
Add i18n Yourself in a React and Redux App#(June 20, 2018)#https://www.digitalocean.com/community/tutorials/react-create-i18n-module
Adding Sound FX to Your React Apps#(May 21, 2019)#https://www.digitalocean.com/community/tutorials/react-adding-sound-to-your-react-apps
Animations in React Using React Motion#(April 12, 2018)#https://www.digitalocean.com/community/tutorials/react-react-motion
Atomic SetState Updates in React#(July 26, 2017)#https://www.digitalocean.com/community/tutorials/react-getting-atomic-updates-with-setstate
Back to Basic: What are Props in React and How to They Work?#(July 16, 2019)#https://www.digitalocean.com/community/tutorials/react-props
Beautiful Charts and Graphs with React and Victory#(September 19, 2018)#https://www.digitalocean.com/community/tutorials/react-react-victory
Build a SSR App With Preact, Unistore, and Preact Router#(December 12, 2019)#https://www.digitalocean.com/community/tutorials/build-a-ssr-app-with-preact-unistore-and-preact-router
Building a Landing Page in React Native Using Flexbox#(July 26, 2018)#https://www.digitalocean.com/community/tutorials/react-react-native-flexbox
CSS-in-JS Roundup: Styling React Components#(August 21, 2017)#https://www.digitalocean.com/community/tutorials/react-css-in-js-roundup-styling-react-components
Categorizing Components Into Smart & Dumb Components, in React#(November 12, 2018)#https://www.digitalocean.com/community/tutorials/react-smart-dumb-components
Change Soft Input Mode in React Native Android#(July 16, 2018)#https://www.digitalocean.com/community/tutorials/react-android-soft-input
Class Component Overview in React#(May 9, 2017)#https://www.digitalocean.com/community/tutorials/react-class-components
Code Splitting in React Using React Loadable#(April 18, 2018)#https://www.digitalocean.com/community/tutorials/react-react-loadable
